"SiteID","inclProb","PSU_habitat","habitat","PSU_ID","Shape_Area_m","max_n","n","geometry","lon","lat"
204581,0.27863552,"122 - alpine","alpine",122,2644419.83761664,10,10,c(-119.878643997961, 49.0549970708689),-119.878643997961,49.0549970708689
1075493,0.724603904,"122 - alpine","alpine",122,2644419.83761664,10,10,c(-119.867248874109, 49.0656421749318),-119.867248874109,49.0656421749318
1262117,0.521040896,"122 - alpine","alpine",122,2644419.83761664,10,10,c(-119.885975093456, 49.057531177577),-119.885975093456,49.057531177577
1308773,0.773559296,"122 - alpine","alpine",122,2644419.83761664,10,10,c(-119.860084670482, 49.0744618219882),-119.860084670482,49.0744618219882
1448741,0.325231616,"122 - alpine","alpine",122,2644419.83761664,10,10,c(-119.879865645651, 49.0655023892419),-119.879865645651,49.0655023892419
1614629,0.808936448,"122 - alpine","alpine",122,2644419.83761664,10,10,c(-119.882341476275, 49.0703802831463),-119.882341476275,49.0703802831463
2195237,0.4803405824,"122 - alpine","alpine",122,2644419.83761664,10,10,c(-119.883250561083, 49.0612796091546),-119.883250561083,49.0612796091546
2428517,0.5311391744,"122 - alpine","alpine",122,2644419.83761664,10,10,c(-119.853947020039, 49.0782213038212),-119.853947020039,49.0782213038212
2568485,0.0828729344,"122 - alpine","alpine",122,2644419.83761664,10,10,c(-119.866170596367, 49.0720364122047),-119.866170596367,49.0720364122047
3314981,0.2456643584,"122 - alpine","alpine",122,2644419.83761664,10,10,c(-119.870457188766, 49.0674839425202),-119.870457188766,49.0674839425202
328997,0.56021504,"122 - subalpine","subalpine",122,2130464.03373116,8,8,c(-119.874559831221, 49.0713584955444),-119.874559831221,49.0713584955444
354917,0.53963264,"122 - subalpine","subalpine",122,2130464.03373116,8,8,c(-119.851013652039, 49.0820052604906),-119.851013652039,49.0820052604906
1474661,0.297276416,"122 - subalpine","subalpine",122,2130464.03373116,8,8,c(-119.866842439834, 49.0777112489716),-119.866842439834,49.0777112489716
2055269,0.9286682624,"122 - subalpine","subalpine",122,2130464.03373116,8,8,c(-119.856114026205, 49.0724155281535),-119.856114026205,49.0724155281535
2444069,0.9455519744,"122 - subalpine","subalpine",122,2130464.03373116,8,8,c(-119.873216305475, 49.0558280997028),-119.873216305475,49.0558280997028
2594405,0.0622290944,"122 - subalpine","subalpine",122,2130464.03373116,8,8,c(-119.854222451444, 49.0838474658475),-119.854222451444,49.0838474658475
2941733,0.6435006464,"122 - subalpine","subalpine",122,2130464.03373116,8,8,c(-119.874781192177, 49.0608852620271),-119.874781192177,49.0608852620271
3107621,0.3665905664,"122 - subalpine","subalpine",122,2130464.03373116,8,8,c(-119.889365171507, 49.0738020316391),-119.889365171507,49.0738020316391
189029,0.81654272,"122 - uppermontane","uppermontane",122,3010848.37359372,11,11,c(-119.844526470972, 49.0786558771465),-119.844526470972,49.0786558771465
375653,0.62226944,"122 - uppermontane","uppermontane",122,3010848.37359372,11,11,c(-119.83301245565, 49.0816362100509),-119.83301245565,49.0816362100509
748901,0.222897152,"122 - uppermontane","uppermontane",122,3010848.37359372,11,11,c(-119.832163638727, 49.086493187911),-119.832163638727,49.086493187911
868133,0.653456384,"122 - uppermontane","uppermontane",122,3010848.37359372,11,11,c(-119.893614797476, 49.0732485184274),-119.893614797476,49.0732485184274
1495397,0.570008576,"122 - uppermontane","uppermontane",122,3010848.37359372,11,11,c(-119.817511330932, 49.0846430765336),-119.817511330932,49.0846430765336
1868645,0.172172288,"122 - uppermontane","uppermontane",122,3010848.37359372,11,11,c(-119.832332172616, 49.0837618587327),-119.832332172616,49.0837618587327
